anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),FEMENINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO SUPERIOR,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL PROVINCIAL,PROVISIONAL,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,6,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL PROVINCIAL,TITULAR,FEMENINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL PROVINCIAL,TITULAR,MASCULINO,8,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL SUPERIOR,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PREVENCION DEL DELITO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PREVENCION DEL DELITO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PREVENCION DEL DELITO,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PREVENCION DEL DELITO,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PREVENCION DEL DELITO,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PREVENCION DEL DELITO,FISCAL PROVINCIAL,TITULAR,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PREVENCION DEL DELITO,FISCAL PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,TRAFICO ILICITO DE DROGAS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,7,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,6,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL PROVINCIAL,PROVISIONAL,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
